,name,data,scale,location,location1,latitude,longitude,average_irradiance,total_irradiance,path
27,"UPS, 30 S Gyle Cres, Edinburgh test_1.png",test,70,"55°55'56""N3°18'20""W","55°55'56""N 3°18'20""W ",55.9322,-3.3056,2.55,852.16,"/content/ai_project/runs/1712486411/satellite_images/UPS, 30 S Gyle Cres, Edinburgh test_1.png"
28,"aberdeen science centre, aberdeen train_1.png",train,70,"57°09'11""N2°05'04""W","57°09'11""N 2°05'04""W ",57.1531,-2.0844,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/aberdeen science centre, aberdeen train_1.png"
29,"aberdeen sports village, aberdeen train_1.png",train,70,"57°09'42""N2°05'36""W","57°09'42""N 2°05'36""W ",57.1617,-2.0933,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/aberdeen sports village, aberdeen train_1.png"
30,"arden court, inverness test_1.png",test,70,"57°28'22""N4°11'43""W","57°28'22""N 4°11'43""W ",57.4728,-4.1953,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/arden court, inverness test_1.png"
31,asda aberdeen beach train_1.png,train,70,NA,NA,NA,NA,NA,NA,/content/ai_project/runs/1712486411/satellite_images/asda aberdeen beach train_1.png
32,"bp, Dunnottar Ave, Stonehaven test_1.png",test,70,NA,NA,NA,NA,NA,NA,"/content/ai_project/runs/1712486411/satellite_images/bp, Dunnottar Ave, Stonehaven test_1.png"
33,"edward wright building, aberdeen train_1.png",train,70,"57°09'58""N2°06'02""W","57°09'58""N 2°06'02""W ",57.1661,-2.1006,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/edward wright building, aberdeen train_1.png"
34,"harlaw academy, aberdeen train_1.png",train,70,"57°08'32""N2°07'00""W","57°08'32""N 2°07'00""W ",57.1422,-2.1167,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/harlaw academy, aberdeen train_1.png"
35,"jump in adventure park, aberdeen train_1.png",train,70,"57°07'26""N2°05'52""W","57°07'26""N 2°05'52""W ",57.1239,-2.0978,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/jump in adventure park, aberdeen train_1.png"
36,"king's pavilion, aberdeen train_1.png",train,70,"57°09'49""N2°06'00""W","57°09'49""N 2°06'00""W ",57.1636,-2.1,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/king's pavilion, aberdeen train_1.png"
37,"lidl, king street, aberdeen train_1.png",train,70,"57°10'24""N2°05'33""W","57°10'24""N 2°05'33""W ",57.1733,-2.0925,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/lidl, king street, aberdeen train_1.png"
38,"maritime and coastguard agency, aberdeen train_1.png",train,70,"57°08'39""N2°05'15""W","57°08'39""N 2°05'15""W ",57.1442,-2.0875,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/maritime and coastguard agency, aberdeen train_1.png"
39,"parcelforce worldwide, inverness test_1.png",test,70,"57°29'13""N4°13'33""W","57°29'13""N 4°13'33""W ",57.4869,-4.2258,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/parcelforce worldwide, inverness test_1.png"
40,"screwfix inverness, inverness test_1.png",test,70,"57°29'10""N4°13'29""W","57°29'10""N 4°13'29""W ",57.4861,-4.2247,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/screwfix inverness, inverness test_1.png"
41,"south house, aberdeen train_1.png",train,70,"57°10'27""N2°06'06""W","57°10'27""N 2°06'06""W ",57.1742,-2.1017,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/south house, aberdeen train_1.png"
42,"st mary's building, university of aberdeen train_1.png",train,70,"57°09'59""N2°0610""W","57°09'59""N 2°0610""W ",57.1664,-2.1694,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/st mary's building, university of aberdeen train_1.png"
43,"torry medical practice, aberdeen train_1.png",train,70,"57°08'04""N2°05'18""W","57°08'04""N 2°05'18""W ",57.1344,-2.0883,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/torry medical practice, aberdeen train_1.png"
